"island","archipelago","ka0","ka1","ka2","ka3","ka4","ka5","ka6","ka7","ka8","ka9","ka10","ka11","ka12","ka13","ka14","ka15","ka16","ka17","ka18","ka19","ka20","ka21","ka22","ka23","ka24","ka25","ka26","ka27","ka28","ka29","ka30","ka31","ka32","ka33","ka34","ka35","ka36","ka37","ka38","ka39","ka40","ka41","ka42","ka43","ka44","ka45","ka46","ka47","ka48","ka49","ka50","ka51","ka52","ka53","ka54","ka55","ka56","ka57","ka58","ka59","ka60","ka61","ka62","ka63","ka64","ka65","ka66","ka67","ka68","ka69","ka70","ka71","ka72","ka73","ka74","ka75","ka76","ka77","ka78","ka79","ka80","ka81","ka82","ka83","ka84","ka85","ka86","ka87","ka88","ka89","ka90","ka91","ka92","ka93","ka94","ka95","ka96","ka97","ka98","ka99","ka100","ka101","ka102","ka103","ka104","ka105","ka106","ka107","ka108","ka109","ka110","ka111","ka112","ka113","ka114","ka115","ka116","ka117","ka118","ka119","ka120","ka121","ka122","ka123","ka124","ka125","ka126","ka127","ka128","ka129","ka130","ka131","ka132","ka133","ka134","ka135","ka136","ka137","ka138","ka139","ka140"
"Aldabra","Aldabra",96.0687120000058,100.282252000006,117.136412000006,185.395760000007,185.395760000007,185.395760000007,188.766592000006,188.766592000006,214.047832000009,481.186268000004,505.624800000008,557.029988000002,575.569564,582.311228000002,588.210184000002,593.266432000003,602.536220000003,605.907052000003,615.176840000003,619.390380000003,620.233088000003,619.390380000003,616.019548000003,610.120592000003,604.221636000003,599.165388000004,593.266432000003,593.266432000003,591.581016000002,588.210184000002,585.682060000002,583.153936000002,582.311228000002,582.311228000002,582.311228000002,580.625812000002,580.625812000002,580.625812000002,580.625812000002,582.311228000002,582.311228000002,582.311228000002,584.839352000002,586.524768000002,588.210184000002,588.210184000002,589.895600000002,589.895600000002,589.895600000002,589.895600000002,589.895600000002,589.895600000002,588.210184000002,588.210184000002,588.210184000002,588.210184000002,587.367476000002,586.524768000002,584.839352000002,583.153936000002,582.311228000002,582.311228000002,582.311228000002,582.311228000002,582.311228000002,583.153936000002,585.682060000002,586.524768000002,586.524768000002,585.682060000002,584.839352000002,585.682060000002,587.367476000002,580.625812000002,552.816448000004,486.242516000003,471.916480000004,466.860232000005,464.332108000005,463.489400000005,462.646692000004,214.890540000009,214.890540000009,462.646692000004,464.332108000005,471.073772000004,482.871684000004,504.782092000008,538.490412000004,552.816448000004,557.029988000002,565.457067999999,566.299776,566.299776,567.142484,565.457067999999,546.074784000003,504.782092000008,481.186268000004,465.174816000005,214.890540000009,208.148876000009,208.148876000009,208.148876000009,204.778044000009,208.148876000009,465.174816000005,482.871684000004,486.242516000003,503.939384000008,503.939384000008,500.568552000009,500.568552000009,484.557100000004,465.174816000005,198.036380000007,96.0687120000058,50.5624800000026,5.05624799999989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,185.395760000007,484.557100000004,486.242516000003,482.871684000004,481.186268000004,476.972728000004,471.916480000004,466.860232000005,471.073772000004,476.972728000004,486.242516000003,544.389368000003
"Assumption","Aldabra",11.7979119999998,11.7979119999998,14.326036,17.6968679999996,17.6968679999996,17.6968679999996,17.6968679999996,17.6968679999996,18.5395759999998,25.2812400000011,27.8093640000019,36.2364440000017,44.6635240000024,53.090604000003,53.933312000003,54.7760200000032,56.4614360000032,60.6749760000036,60.6749760000036,63.2031000000038,64.0458080000038,64.0458080000038,61.5176840000043,60.6749760000036,58.9895600000032,56.4614360000032,54.7760200000032,53.933312000003,53.933312000003,53.933312000003,53.090604000003,53.090604000003,53.090604000003,53.090604000003,52.247896000003,52.247896000003,52.247896000003,52.247896000003,52.247896000003,52.247896000003,53.090604000003,53.090604000003,53.090604000003,53.933312000003,53.933312000003,53.933312000003,53.933312000003,53.933312000003,53.933312000003,53.933312000003,53.933312000003,53.933312000003,53.933312000003,53.933312000003,53.933312000003,53.933312000003,53.933312000003,53.933312000003,53.090604000003,53.090604000003,53.090604000003,53.090604000003,53.090604000003,53.090604000003,53.090604000003,53.090604000003,53.090604000003,53.933312000003,53.933312000003,53.090604000003,53.090604000003,53.090604000003,53.933312000003,52.247896000003,35.3937360000019,26.1239480000011,23.595824,21.9104080000002,19.3822840000004,18.5395759999998,18.5395759999998,18.5395759999998,18.5395759999998,18.5395759999998,19.3822840000004,21.9104080000002,26.1239480000011,27.8093640000019,33.7083200000019,36.2364440000017,36.2364440000017,37.0791520000017,37.9218600000015,37.9218600000015,37.9218600000015,37.0791520000017,35.3937360000019,27.8093640000019,25.2812400000011,21.0677000000002,18.5395759999998,18.5395759999998,18.5395759999998,18.5395759999998,18.5395759999998,18.5395759999998,21.0677000000002,26.1239480000011,26.9666560000019,27.8093640000019,27.8093640000019,27.8093640000019,27.8093640000019,26.1239480000011,21.0677000000002,17.6968679999996,11.7979119999998,9.26978799999979,3.370832,3.370832,NA,NA,NA,NA,NA,NA,NA,NA,NA,17.6968679999996,26.1239480000011,26.1239480000011,26.1239480000011,25.2812400000011,23.595824,23.595824,21.9104080000002,21.9104080000002,23.595824,26.1239480000011,34.5510280000019
"Astove","Aldabra",3.37083199999979,3.37083199999979,3.37083199999979,3.37083199999979,3.37083199999979,3.37083199999979,3.37083199999979,3.37083199999979,29.4947800000052,33.7083200000056,39.6072760000056,42.9781080000058,44.6635240000062,48.034356000006,48.877064000006,49.719772000006,50.562480000006,51.4051880000069,53.0906040000069,53.0906040000069,53.9333120000069,53.0906040000069,53.0906040000069,52.2478960000069,50.562480000006,49.719772000006,49.719772000006,49.719772000006,48.877064000006,48.877064000006,48.034356000006,48.034356000006,48.034356000006,47.191648000006,45.506232000006,45.506232000006,45.506232000006,45.506232000006,45.506232000006,47.191648000006,48.034356000006,48.034356000006,48.034356000006,48.877064000006,48.877064000006,48.877064000006,48.877064000006,48.877064000006,48.877064000006,48.877064000006,48.877064000006,48.877064000006,48.877064000006,48.877064000006,48.877064000006,48.877064000006,48.877064000006,48.877064000006,48.034356000006,48.034356000006,48.034356000006,48.034356000006,48.034356000006,48.034356000006,48.034356000006,48.034356000006,48.034356000006,48.877064000006,48.877064000006,48.034356000006,48.034356000006,48.034356000006,48.877064000006,45.506232000006,41.2926920000058,36.236444000005,32.8656120000058,32.0229040000058,31.1801960000049,31.1801960000049,31.1801960000049,30.3374880000049,30.3374880000049,31.1801960000049,31.1801960000049,32.8656120000058,34.5510280000054,38.7645680000056,40.4499840000058,41.2926920000058,42.9781080000058,42.9781080000058,42.9781080000058,42.9781080000058,42.9781080000058,42.9781080000058,40.4499840000058,38.7645680000056,33.7083200000056,31.1801960000049,30.3374880000049,28.6520720000054,28.6520720000054,26.9666560000054,8.427080000003,28.6520720000054,31.1801960000049,34.5510280000054,37.921860000005,37.921860000005,37.921860000005,37.921860000005,37.921860000005,34.5510280000054,31.1801960000049,3.37083199999979,3.37083199999979,2.52812399999957,0.842707999999787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.37083199999979,34.5510280000054,35.3937360000052,34.5510280000054,33.7083200000056,33.7083200000056,32.8656120000058,32.8656120000058,32.8656120000058,33.7083200000056,35.3937360000052,40.4499840000058
"Cosmoledo","Aldabra",3.3708319999985,4.21353999999764,7.584371999997,145.788484000002,145.788484000002,145.788484000002,151.687440000002,151.687440000002,164.328060000001,180.339511999998,195.508255999997,207.306167999997,209.834291999997,218.261371999995,224.160327999996,229.216575999996,233.430115999995,235.115531999995,237.643655999996,237.643655999996,239.329071999996,239.329071999996,237.643655999996,235.958239999995,234.272823999995,230.901991999995,229.216575999996,225.845743999996,225.003035999996,223.317619999995,221.632203999996,220.789495999995,218.261371999995,218.261371999995,214.890539999995,214.890539999995,214.890539999995,214.890539999995,214.890539999995,218.261371999995,218.261371999995,220.789495999995,220.789495999995,222.474911999995,223.317619999995,224.160327999996,224.160327999996,224.160327999996,224.160327999996,224.160327999996,224.160327999996,224.160327999996,224.160327999996,224.160327999996,224.160327999996,223.317619999995,223.317619999995,222.474911999995,220.789495999995,220.789495999995,220.789495999995,219.946787999995,219.946787999995,219.946787999995,220.789495999995,220.789495999995,221.632203999996,222.474911999995,222.474911999995,221.632203999996,220.789495999995,221.632203999996,223.317619999995,214.890539999995,203.092627999997,187.081175999998,172.755140000001,169.384308,167.698892000001,166.856184000001,166.013476000001,166.013476000001,166.013476000001,166.013476000001,167.698892000001,171.912432,183.710343999998,193.822839999998,198.879087999997,203.935335999997,207.306167999997,208.148875999997,208.991583999997,208.991583999997,209.834291999997,208.148875999997,201.407211999997,193.822839999998,180.339511999998,167.698892000001,166.013476000001,162.642644000001,162.642644000001,160.957228,159.271811999999,162.642644000001,167.698892000001,183.710343999998,188.766591999999,193.822839999998,193.822839999998,192.137423999998,192.137423999998,183.710343999998,167.698892000001,155.900979999999,3.3708319999985,0.842707999999354,0.842707999999354,0.842707999999354,NA,NA,NA,NA,NA,NA,NA,NA,NA,145.788484000002,183.710343999998,184.553051999998,183.710343999998,180.339511999998,173.597848000001,172.755140000001,171.069724,171.912432,173.597848000001,184.553051999998,198.879087999997
"Corvo","Azores",21.578400000003,21.578400000003,21.578400000003,22.2527250000034,22.2527250000034,22.2527250000034,22.2527250000034,22.2527250000034,22.2527250000034,24.9500250000009,29.6702999999998,34.3905749999983,39.1108499999958,43.8311249999969,45.8540999999966,47.2027499999966,49.9000499999985,52.5973500000011,53.2716750000003,55.2946499999987,55.2946499999987,55.2946499999987,55.2946499999987,52.5973500000011,50.5743749999989,48.5513999999982,47.2027499999966,46.5284249999966,46.5284249999966,45.8540999999966,45.1797749999964,45.1797749999964,43.8311249999969,42.4824749999965,41.8081499999965,41.8081499999965,41.8081499999965,41.8081499999965,41.8081499999965,42.4824749999965,43.8311249999969,44.5054499999964,45.1797749999964,45.8540999999966,45.8540999999966,45.8540999999966,46.5284249999966,46.5284249999966,46.5284249999966,46.5284249999966,46.5284249999966,46.5284249999966,45.8540999999966,45.8540999999966,45.8540999999966,45.8540999999966,45.8540999999966,45.8540999999966,45.1797749999964,45.1797749999964,44.5054499999964,43.8311249999969,43.8311249999969,43.8311249999969,44.5054499999964,45.1797749999964,45.1797749999964,45.8540999999966,45.8540999999966,45.1797749999964,45.1797749999964,45.1797749999964,45.8540999999966,41.8081499999965,32.3676000000001,26.298675,23.6013750000027,23.6013750000027,22.2527250000034,22.2527250000034,22.2527250000034,22.2527250000034,22.2527250000034,22.2527250000034,22.2527250000034,23.6013750000027,26.298675,27.6473249999993,31.6932749999996,33.041924999999,34.3905749999983,35.0648999999983,35.7392249999979,35.7392249999979,35.7392249999979,35.0648999999983,31.6932749999996,27.6473249999993,24.9500250000009,22.2527250000034,22.2527250000034,22.2527250000034,22.2527250000034,22.2527250000034,22.2527250000034,22.2527250000034,22.2527250000034,26.298675,26.9729999999998,26.9729999999998,26.9729999999998,26.9729999999998,26.9729999999998,26.298675,22.2527250000034,22.2527250000034,21.578400000003,21.578400000003,21.578400000003,21.578400000003,20.9040750000027,20.9040750000027,20.9040750000027,20.9040750000027,20.9040750000027,20.9040750000027,20.9040750000027,20.9040750000027,20.9040750000027,22.2527250000034,26.298675,26.298675,26.298675,24.9500250000009,23.6013750000027,23.6013750000027,23.6013750000027,23.6013750000027,23.6013750000027,26.298675,31.6932749999996
"Faial","Azores",173.301525,173.97585,174.650175,175.324500000001,175.324500000001,175.324500000001,175.998825000001,175.998825000001,179.370449999999,188.136675000003,195.554250000002,202.971825000002,209.715075,217.132650000001,732.991274999997,745.129124999993,757.941299999988,767.381849999987,773.450774999986,777.496724999986,780.868349999985,780.194024999985,773.450774999986,770.753474999988,763.335899999987,751.872374999989,745.129124999993,743.106149999993,741.083174999995,731.642624999998,220.504275,217.806975000001,217.132650000001,217.132650000001,217.132650000001,217.132650000001,217.132650000001,217.132650000001,217.132650000001,217.132650000001,217.132650000001,217.806975000001,218.481300000001,221.1786,731.642624999998,732.991274999997,739.060199999995,739.060199999995,739.060199999995,739.060199999995,739.060199999995,739.060199999995,732.991274999997,732.991274999997,732.991274999997,731.642624999998,222.52725,221.1786,218.481300000001,217.806975000001,217.806975000001,217.806975000001,217.806975000001,217.806975000001,217.806975000001,217.806975000001,220.504275,221.1786,221.1786,220.504275,218.481300000001,220.504275,222.52725,217.132650000001,199.600200000003,189.485325000003,186.788025000002,183.416400000002,182.067750000002,181.393425000001,181.393425000001,180.7191,180.7191,181.393425000001,182.067750000002,184.765050000002,189.485325000003,191.508300000002,197.577225000003,200.274525000003,202.971825000002,204.994800000003,204.994800000003,204.994800000003,204.994800000003,204.994800000003,197.577225000003,191.508300000002,188.136675000003,182.742075000002,180.7191,178.696125,178.696125,176.673150000001,176.673150000001,178.696125,182.742075000002,189.485325000003,190.159650000003,190.159650000003,190.159650000003,190.159650000003,190.159650000003,189.485325000003,182.742075000002,175.998825000001,173.301525,172.6272,171.952875,171.952875,171.278549999999,170.604225,170.604225,170.604225,171.278549999999,171.278549999999,170.604225,170.604225,170.604225,175.324500000001,189.485325000003,189.485325000003,189.485325000003,188.136675000003,187.462350000002,186.788025000002,184.090725000002,184.765050000002,187.462350000002,189.485325000003,197.577225000003
"Flores","Azores",152.397449999997,153.071774999997,153.071774999997,154.420424999999,154.420424999999,154.420424999999,154.420424999999,154.420424999999,158.466374999998,168.581249999998,181.393425,198.251549999998,217.132649999998,238.036724999998,253.546199999997,271.078649999999,289.959750000006,301.423275000009,316.258425000009,322.327350000005,326.37330000001,325.698975000009,320.978700000006,308.166525000009,296.028675000008,281.867850000004,271.078649999999,264.3354,260.963774999996,250.848899999994,246.802949999995,244.105649999995,238.036724999998,237.362399999997,233.316449999997,228.596174999996,228.596174999996,228.596174999996,228.596174999996,234.665099999997,238.036724999998,242.756999999995,246.128624999995,248.825924999995,250.848899999994,253.546199999997,258.266474999998,258.266474999998,258.266474999998,258.266474999998,258.266474999998,258.266474999998,253.546199999997,253.546199999997,253.546199999997,250.848899999994,249.500249999994,248.825924999995,246.128624999995,244.105649999995,242.756999999995,239.385374999996,239.385374999996,239.385374999996,242.756999999995,244.105649999995,246.802949999995,248.825924999995,248.825924999995,246.802949999995,246.128624999995,246.802949999995,249.500249999994,228.596174999996,193.531274999999,171.952874999998,167.906924999999,165.88395,163.860974999999,162.512324999998,162.512324999998,159.815024999998,159.815024999998,162.512324999998,163.860974999999,166.558275,170.604224999997,176.67315,189.485324999999,194.205599999999,198.251549999998,201.623174999996,202.971824999996,202.971824999996,204.994799999997,201.623174999996,191.5083,178.0218,168.581249999998,165.209624999999,159.815024999998,158.466374999998,158.466374999998,158.466374999998,158.466374999998,158.466374999998,165.209624999999,170.604224999997,173.975849999997,175.998824999999,175.998824999999,173.975849999997,173.975849999997,171.278549999998,165.209624999999,157.117724999999,152.397449999997,149.700149999995,149.025824999995,148.351499999995,147.677174999996,147.677174999996,147.677174999996,147.677174999996,147.677174999996,147.677174999996,147.677174999996,147.002849999996,147.677174999996,154.420424999999,171.278549999998,171.278549999998,170.604224999997,168.581249999998,167.906924999999,167.906924999999,166.558275,166.558275,167.906924999999,171.278549999998,189.485324999999
"Graciosa","Azores",60.0149249999978,60.0149249999978,60.0149249999978,60.0149249999978,60.0149249999978,60.0149249999978,60.6892499999978,60.6892499999978,64.7351999999969,74.8500749999987,82.9419749999995,89.0109000000015,92.3825250000017,97.1028000000026,108.566325000003,114.635250000002,129.470400000006,132.842025000004,140.933925,148.3515,150.374475000001,149.70015,145.654199999999,136.887975000002,130.819050000006,120.704175000002,114.635250000002,113.960925000003,109.914975000004,107.892000000003,102.497400000004,101.148750000003,97.1028000000026,97.1028000000026,95.0798250000028,94.4055000000028,94.4055000000028,94.4055000000028,94.4055000000028,95.7541500000028,97.1028000000026,99.8001000000026,102.497400000004,104.520375000004,107.892000000003,108.566325000003,109.914975000004,109.914975000004,109.914975000004,109.914975000004,109.914975000004,109.914975000004,108.566325000003,108.566325000003,108.566325000003,107.892000000003,106.543350000002,104.520375000004,102.497400000004,101.148750000003,99.8001000000026,99.1257750000026,99.1257750000026,99.1257750000026,99.8001000000026,101.148750000003,102.497400000004,104.520375000004,104.520375000004,102.497400000004,102.497400000004,102.497400000004,106.543350000002,94.4055000000028,87.6622500000022,80.2446750000009,72.152774999998,70.1297999999962,67.4324999999958,67.4324999999958,67.4324999999958,67.4324999999958,67.4324999999958,67.4324999999958,67.4324999999958,71.4784499999969,75.5243999999976,82.2676499999998,84.9649500000006,87.6622500000022,89.0109000000015,89.6852250000015,89.6852250000015,89.6852250000015,90.3595500000015,89.6852250000015,85.6392750000011,82.2676499999998,74.8500749999987,70.1297999999962,67.4324999999958,64.7351999999969,64.7351999999969,62.7122249999975,62.0378999999975,64.7351999999969,70.1297999999962,75.5243999999976,80.2446750000009,82.2676499999998,82.2676499999998,80.9190000000002,80.9190000000002,77.5473749999982,70.1297999999962,61.3635749999978,60.0149249999978,57.9919499999987,55.9689749999991,55.9689749999991,54.6203249999987,54.6203249999987,54.6203249999987,54.6203249999987,54.6203249999987,54.6203249999987,54.6203249999987,54.6203249999987,54.6203249999987,60.0149249999978,77.5473749999982,78.8960249999991,75.5243999999976,74.8500749999987,72.827099999998,72.152774999998,70.8041249999969,71.4784499999969,72.827099999998,78.8960249999991,84.9649500000006
"Pico","Azores",430.893674999992,430.893674999992,431.567999999991,431.567999999991,431.567999999991,431.567999999991,432.916649999991,432.916649999991,441.008549999993,451.79774999999,464.609924999987,472.701824999986,486.862649999992,500.349149999997,732.991274999997,745.129124999993,757.941299999988,767.381849999987,773.450774999986,777.496724999986,780.868349999985,780.194024999985,773.450774999986,770.753474999988,763.335899999987,751.872374999989,745.129124999993,743.106149999993,741.083174999995,731.642624999998,504.395099999998,503.046449999998,500.349149999997,499.674824999997,495.628874999995,492.257249999995,492.257249999995,492.257249999995,492.257249999995,497.651849999996,500.349149999997,501.697799999997,503.720774999998,506.418074999999,731.642624999998,732.991274999997,739.060199999995,739.060199999995,739.060199999995,739.060199999995,739.060199999995,739.060199999995,732.991274999997,732.991274999997,732.991274999997,731.642624999998,507.766724999998,506.418074999999,503.720774999998,503.046449999998,501.697799999997,500.349149999997,500.349149999997,500.349149999997,501.697799999997,503.046449999998,504.395099999998,506.418074999999,506.418074999999,504.395099999998,503.720774999998,504.395099999998,507.766724999998,492.257249999995,470.678849999986,457.19234999999,447.75179999999,445.728824999991,443.705849999993,443.031524999992,443.031524999992,442.357199999993,442.357199999993,443.031524999992,443.705849999993,447.75179999999,452.472074999989,461.238299999987,467.981549999986,471.353174999986,472.701824999986,472.701824999986,474.050474999985,474.050474999985,474.050474999985,472.701824999986,470.678849999986,463.261274999988,451.79774999999,443.705849999993,442.357199999993,439.659899999992,439.659899999992,437.636924999993,436.962599999992,439.659899999992,443.705849999993,452.472074999989,458.54099999999,460.563974999988,460.563974999988,459.889649999988,459.889649999988,453.820724999989,443.705849999993,434.93962499999,430.893674999992,430.893674999992,428.196374999992,428.196374999992,427.522049999993,427.522049999993,427.522049999993,427.522049999993,427.522049999993,427.522049999993,427.522049999993,424.824749999993,427.522049999993,431.567999999991,453.820724999989,454.495049999989,452.472074999989,451.79774999999,449.77477499999,447.75179999999,446.40314999999,447.75179999999,449.77477499999,454.495049999989,468.655874999986
"Santa Maria","Azores",112.612274999999,112.612274999999,113.286599999999,113.286599999999,113.286599999999,113.286599999999,113.286599999999,113.286599999999,114.635249999999,122.052825,128.796075000001,142.282575000001,159.815025000002,167.906925000001,175.3245,183.416400000001,188.136675000001,194.205600000002,205.669125000004,209.715075000005,212.412375000005,211.738050000005,207.692100000005,195.554250000002,189.485325000002,186.113700000002,183.416400000001,182.067750000001,180.719100000001,173.97585,173.301525,172.6272,167.906925000001,167.232600000001,165.209625000001,165.209625000001,165.209625000001,165.209625000001,165.209625000001,166.558275000002,167.906925000001,171.278550000001,172.6272,173.301525,173.97585,175.3245,175.998825,175.998825,175.998825,175.998825,175.998825,175.998825,175.3245,175.3245,175.3245,173.97585,173.97585,173.301525,172.6272,172.6272,171.278550000001,170.604225000001,170.604225000001,170.604225000001,171.278550000001,172.6272,173.301525,173.301525,173.301525,173.301525,172.6272,173.301525,173.97585,165.209625000001,133.516350000002,125.42445,118.006875,117.332549999999,115.983899999999,115.309574999999,115.309574999999,115.309574999999,115.309574999999,115.309574999999,115.983899999999,117.332549999999,123.401475,126.098775,130.819050000002,134.865000000002,142.282575000001,144.979875,145.6542,145.6542,145.6542,144.979875,132.167700000001,126.773100000001,122.052825,117.332549999999,115.309574999999,114.635249999999,114.635249999999,114.635249999999,114.635249999999,114.635249999999,117.332549999999,123.401475,125.42445,126.098775,126.098775,126.098775,126.098775,124.0758,117.332549999999,113.286599999999,112.612274999999,111.937949999999,111.937949999999,111.937949999999,111.937949999999,111.937949999999,111.937949999999,111.937949999999,111.937949999999,111.937949999999,111.937949999999,111.937949999999,111.937949999999,113.286599999999,124.0758,124.750125,123.401475,122.052825,120.02985,118.006875,117.332549999999,117.332549999999,120.02985,124.750125,131.493375000001
