"area_km_reference","archipelago"
0.0547593259122637,"Cocos_Costa_Rica"
38.725990539111,"Norfolk"
2.78673697799795,"Selvagens"
18.0394723783003,"Fernando_Noronha"
NA,"Socorro"
97.5527526437455,"Ascension"
70.5628537899732,"Ogasawara"
122.660814188608,"Saint_Helena"
137.667720598253,"Christmas_Island"
64.7541013683932,"Gough"
16.0699754230457,"Keeling_Cocos"
245.869955555679,"Guadalupe"
110.563722457538,"Rodrigues"
162.88719212679,"Rapa_Nui"
261.595503033761,"Niue"
111.961724108665,"Tristan_da_Cunha"
363.601740073682,"Tonga"
463.454051595063,"Palau"
16.8263740692462,"Lord_Howe"
1874.31198864627,"Mauritius_Island"
54.0493640924969,"Bermuda"
2508.29004804867,"Reunion"
991.112480132805,"Chatham"
985.393948856728,"SaoTome_Principe"
218.763382760874,"Aldabra_Group"
795.364216681094,"Madeira"
858.869512281386,"Guam_Marianas"
2027.36677470102,"Comoros"
21.9847212489609,"Chagos"
3034.0999447183,"Samoa"
2.40351384420455,"Juan_Fernandez"
4073.12259190507,"Cape_Verde"
307.26383944311,"Seychelles_Inner"
7469.56626089506,"Canaries"
7992.27406275144,"Galapagos"
992.648911539776,"Marquesas"
18659.2999626928,"New_Caledonia"
1639.39131038394,"Society"
45.4850369173832,"Pitcairn"
2316.61154651614,"Azores"
16667.4401311793,"Hawaii"
