"area_km_reference","archipelago"
0.0547593258891502,"Cocos_Costa_Rica"
38.7259905389906,"Norfolk"
2.78673697858485,"Selvagens"
18.0394723780996,"Fernando_Noronha"
NA,"Socorro"
97.5527526426875,"Ascension"
70.5628537906762,"Ogasawara"
122.660814189272,"Saint_Helena"
137.667720598432,"Christmas_Island"
64.7541013683213,"Gough"
16.0699754224505,"Keeling_Cocos"
245.869955555144,"Guadalupe"
110.56372245836,"Rodrigues"
162.887192126846,"Rapa_Nui"
261.595503033602,"Niue"
111.961724108708,"Tristan_da_Cunha"
363.601740073577,"Tonga"
463.454051597693,"Palau"
16.8263740693375,"Lord_Howe"
1874.31198864513,"Mauritius_Island"
54.0493640927509,"Bermuda"
2508.29004805159,"Reunion"
991.112480132906,"Chatham"
985.393948856986,"SaoTome_Principe"
218.763382761887,"Aldabra_Group"
795.364216681501,"Madeira"
859.65390201468,"Guam_Marianas"
2027.36677469824,"Comoros"
21.9847212491097,"Chagos"
3034.09994472303,"Samoa"
2.40351384418317,"Juan_Fernandez"
4073.12259191166,"Cape_Verde"
307.263839439527,"Seychelles_Inner"
7469.56626088726,"Canaries"
7992.27406275138,"Galapagos"
992.648911547246,"Marquesas"
18660.1866872727,"New_Caledonia"
1639.39131038573,"Society"
45.4850369172574,"Pitcairn"
2316.61154651566,"Azores"
16667.4401311783,"Hawaii"
